# {"t_start": 1619879509.1105258, "env_id": "Fetch-M1-v0"} 
r,l,t
-1006.201116,1000,257.673443
-522.061947,1000,267.139594
-798.801708,1000,295.115094
-447.503591,1000,301.288929
-140.89169,1000,331.802232
-357.815749,1000,338.797687
-574.718055,1000,375.918952
-667.909017,1000,383.417918
-656.172124,1000,410.716935
-261.524155,1000,417.740966
-63.570246,1000,451.571814
-339.621361,1000,462.715993
-249.405146,1000,495.395895
-316.939065,1000,502.915918
-360.0724,1000,529.22326
-322.936367,1000,535.704684
-219.292972,1000,579.306855
-362.720414,1000,586.420938
-59.292922,1000,613.75468
-362.905025,1000,620.473218
-94.598923,1000,648.887953
-314.267545,1000,658.26516
-271.297289,1000,700.414808
-306.13763,1000,708.179304
-173.040195,1000,738.288075
-305.378046,1000,745.612055
-393.632847,1000,787.515454
-450.123588,1000,795.904081
-533.927294,1000,828.202202
-200.54991,1000,835.28624
-272.540555,1000,870.686874
-189.955803,1000,882.998727
-194.067771,1000,918.542381
-300.179551,1000,925.562614
-470.40287,1000,954.805724
-243.845213,1000,964.882962
-115.984332,1000,1005.828487
-380.770754,1000,1013.51904
-155.001952,1000,1043.226156
-206.234597,1000,1050.929766
-403.109022,1000,1090.079452
-300.387062,1000,1101.924556
-145.758588,1000,1129.759519
-270.484087,1000,1136.66999
-334.306188,1000,1182.884615
-146.010485,1000,1190.501084
-87.040801,1000,1220.739622
-301.626468,1000,1227.672516
-176.980878,1000,1271.205673
-138.952011,1000,1279.423236
-250.908251,1000,1309.580427
-322.545473,1000,1316.769662
-331.184336,1000,1360.571911
-392.832841,1000,1368.572551
-136.739344,1000,1396.796023
-306.312441,1000,1403.478417
-276.864365,1000,1447.086112
-395.036007,1000,1454.735524
-287.553168,1000,1483.511642
-319.451439,1000,1492.787847
-53.674314,1000,1537.68638
-139.63114,1000,1545.371261
-244.369406,1000,1573.899932
-254.766486,1000,1584.872069
-310.293178,1000,1627.822932
-293.750465,1000,1636.63425
-718.300197,1000,1670.867925
-326.467335,1000,1679.420313
-291.565128,1000,1714.533309
-111.836559,1000,1722.271836
-700.017209,1000,1759.410439
-322.135884,1000,1767.339585
-272.681138,1000,1802.541247
-120.784232,1000,1811.262667
-344.65781,1000,1849.01011
-247.38936,1000,1857.87166
-167.597228,1000,1892.04184
-370.128346,1000,1900.125508
-418.614636,1000,1936.847826
-366.49147,1000,1945.150687
-283.97077,1000,1977.123058
-288.044827,1000,1985.785872
-485.093633,1000,2021.748759
-88.780201,1000,2030.083564
-341.425076,1000,2064.735844
-341.119833,1000,2073.703216
-247.238605,1000,2109.235405
-358.657507,1000,2116.636841
-315.725544,1000,2148.217149
-50.075471,1000,2157.152645
-142.264537,1000,2194.826546
-300.052945,1000,2202.79231
-70.088635,1000,2237.11004
-323.679528,1000,2246.657896
-632.263393,1000,2284.672486
-151.869921,1000,2293.663641
-254.969718,1000,2330.016915
-932.741986,1000,2337.770385
