# {"t_start": 1620949423.5314703, "env_id": "Fetch-M1-v0"} 
r,l,t
-749.722639,1000,68.461699
-886.775845,1000,89.755892
-783.714619,1000,109.55995
-241.184332,1000,130.792391
-722.794633,1000,152.25163
-718.087477,1000,173.816331
-553.096896,1000,195.013483
-580.28808,1000,216.17227
-888.788074,1000,237.809499
-569.950596,1000,258.174639
-635.891545,1000,278.62202
-697.786665,1000,298.918377
-661.290612,1000,319.104309
-576.66332,1000,341.290948
-650.977226,1000,362.296339
-616.040751,1000,383.262321
-111.074393,1000,405.009267
-848.534703,1000,428.641371
-198.034863,1000,449.124811
-819.968025,1000,470.237616
-829.28359,1000,491.463863
-1040.392321,1000,512.468703
-960.886298,1000,534.196599
-768.512864,1000,555.520305
-495.516128,1000,578.500304
-619.081594,1000,600.38962
-744.262126,1000,624.446581
-1020.011202,1000,647.330174
-1065.953473,1000,670.530573
-1124.234362,1000,692.99507
-948.964639,1000,716.155107
-744.636534,1000,740.460748
-875.528169,1000,763.825067
-737.642036,1000,786.546321
-798.366663,1000,811.08347
-795.480509,1000,836.082233
-499.015968,1000,859.749857
-660.622955,1000,882.183626
-181.931102,1000,904.097522
-607.74067,1000,928.175107
-714.400582,1000,953.250856
-643.28115,1000,977.096845
-367.652052,1000,1005.786819
-1074.976581,1000,1027.678679
-449.295194,1000,1050.214414
-247.346988,1000,1071.977128
-276.176545,1000,1094.391638
-524.175676,1000,1114.883085
-211.261206,1000,1136.718865
-341.623629,1000,1156.902291
-373.671905,1000,1178.699766
-478.732691,1000,1199.834577
-339.625837,1000,1221.830877
-804.6758,1000,1242.709966
-558.853474,1000,1263.2499
-417.024001,1000,1283.568645
-182.657147,1000,1304.054962
-481.83672,1000,1325.068833
-502.860431,1000,1345.486185
-187.284682,1000,1367.094349
-221.85114,1000,1386.962233
-462.386831,1000,1407.809031
-575.96312,1000,1428.245293
-1087.952758,1000,1449.730885
-430.487591,1000,1469.849752
-444.935682,1000,1490.624813
-1298.9351,1000,1514.739775
-367.77997,1000,1534.82103
-316.600629,1000,1555.137512
-468.715617,1000,1575.580404
-464.625301,1000,1596.13157
-143.912659,1000,1616.419027
-141.95917,1000,1638.068808
-497.017101,1000,1658.407314
-644.066545,1000,1680.073806
-440.589731,1000,1700.947991
-211.890551,1000,1721.526126
-87.755286,1000,1743.231303
-272.672618,1000,1764.633117
-55.19091,1000,1786.81349
-682.956389,1000,1808.305566
-1030.289855,1000,1829.020817
-1034.359399,1000,1850.852499
-579.770925,1000,1872.51568
-1075.888557,1000,1894.429778
-1055.687929,1000,1915.45332
-1184.204976,1000,1937.725228
-766.717527,1000,1959.853948
-670.297117,1000,1982.806351
-862.351083,1000,2003.956778
-1083.916963,1000,2025.073678
-777.559594,1000,2045.421468
-330.271747,1000,2067.694437
-985.051425,1000,2087.617559
-836.334751,1000,2106.307944
-635.56161,1000,2124.992204
-1016.247315,1000,2143.21456
-888.320429,1000,2162.021942
-828.385828,1000,2178.211469
-864.936448,1000,2522.011269
-769.427072,1000,2541.008459
-948.270523,1000,2563.287909
-858.445673,1000,2583.588092
-817.533574,1000,2603.967225
-879.262873,1000,2624.967614
-1099.565997,1000,2644.795917
-983.143728,1000,2669.579878
-934.490046,1000,2690.298475
-260.398092,1000,2711.51378
-950.717814,1000,2731.657885
-975.511706,1000,2751.569319
-990.850917,1000,2772.631346
-968.191194,1000,2792.557186
-823.782472,1000,2812.918604
-454.722573,1000,2836.063356
-454.249782,1000,2856.879371
-160.914952,1000,2877.865627
-566.677725,1000,2899.01095
-179.570325,1000,2920.317271
-412.18825,1000,2941.629622
-126.166625,1000,2963.003065
-470.015184,1000,2983.477855
-214.487541,1000,3005.185919
-656.220201,1000,3026.440277
-327.974986,1000,3047.846405
-628.269916,1000,3069.395921
-456.12746,1000,3091.409755
-1005.545389,1000,3110.987683
-598.954475,1000,3132.55821
-312.062052,1000,3153.819923
-486.083448,1000,3173.599557
-722.83412,1000,3193.67786
-749.212053,1000,3213.6863
-446.699813,1000,3234.063492
-470.254372,1000,3254.143635
-621.334525,1000,3274.297866
-463.530519,1000,3294.660214
-481.960657,1000,3315.086961
-370.494725,1000,3335.445833
-429.622438,1000,3356.29652
-550.820239,1000,3378.263152
-382.206999,1000,3399.954737
-361.740166,1000,3421.381286
-75.046626,1000,3441.698813
-289.70934,1000,3462.636276
-124.695788,1000,3483.062046
-240.6924,1000,3505.209488
-278.048228,1000,3527.094254
-366.011696,1000,3548.604369
-657.467587,1000,3568.861663
-573.977731,1000,3590.794035
-517.98386,1000,3613.094623
-520.206794,1000,3634.313668
-639.758318,1000,3655.510645
-637.073755,1000,3676.433931
-400.266008,1000,3698.037359
-300.786883,1000,3719.770332
-141.95875,1000,3741.474387
-284.019802,1000,3763.387507
-312.427209,1000,3785.269231
-586.49532,1000,3806.979124
-540.921416,1000,3827.953908
-510.380374,1000,3849.140308
-713.666464,1000,3870.306452
-276.12281,1000,3891.952001
-172.655715,1000,3913.128695
-291.977514,1000,3936.012043
-555.772443,1000,3957.905748
-137.375413,1000,3979.869667
-268.792602,1000,4002.22579
-912.866142,1000,4022.792454
-471.950791,1000,4044.111287
-375.894304,1000,4065.931021
-253.403808,1000,4088.247892
-130.696153,1000,4110.407194
-316.816266,1000,4131.958792
-370.002318,1000,4154.492054
-404.760328,1000,4176.39393
-239.02179,1000,4198.011169
-589.073361,1000,4218.548993
-239.927267,1000,4239.949937
-388.265619,1000,4261.95636
-56.716942,1000,4283.165781
-305.642627,1000,4304.427513
-316.332447,1000,4325.930588
-383.329412,1000,4347.573605
-260.267776,1000,4368.176418
-597.186848,1000,4389.498426
-269.453665,1000,4411.038155
-238.22936,1000,4432.194659
-293.679711,1000,4452.654632
-50.879273,1000,4473.387161
-311.703973,1000,4493.419935
-272.436582,1000,4513.57497
-202.626287,1000,4533.780158
-519.622098,1000,4553.719244
-245.377466,1000,4573.980398
-431.35188,1000,4593.755852
-333.164612,1000,4612.919438
-223.581649,1000,4984.170151
-458.008838,1000,5002.433108
-286.560683,1000,5020.566926
-163.151369,1000,5038.795752
-278.099823,1000,5057.035633
-304.49059,1000,5075.224758
-260.877181,1000,5094.539538
-307.432287,1000,5113.586036
-256.212212,1000,5133.125561
-179.471054,1000,5152.293614
-336.341214,1000,5171.524809
-253.875271,1000,5191.175594
-344.921299,1000,5211.028433
-225.579915,1000,5230.521643
-230.305395,1000,5250.533748
-271.718644,1000,5269.198642
-355.990354,1000,5288.660902
-324.656516,1000,5308.05596
-554.205168,1000,5327.083951
-533.145115,1000,5346.018569
-319.132575,1000,5365.216045
