# {"t_start": 1620949419.8765702, "env_id": "Fetch-M2-v0"} 
r,l,t
-685.832884,1000,66.194564
-1247.190871,1000,87.410656
-561.514636,1000,108.839472
-531.031862,1000,130.510732
-571.921103,1000,151.943475
-619.414346,1000,172.319182
-733.877261,1000,192.672258
-696.021689,1000,212.999385
-590.560836,1000,233.578842
-733.475627,1000,255.177179
-599.926212,1000,275.666176
-748.583461,1000,297.038453
-590.597162,1000,317.248599
-950.889499,1000,338.618443
-595.880072,1000,358.982456
-527.535273,1000,379.874954
-744.973356,1000,400.343931
-681.764754,1000,420.425565
-902.180568,1000,442.087425
-659.165454,1000,462.648818
-859.115796,1000,483.405325
-899.041504,1000,504.531605
-739.865402,1000,524.98392
-621.308738,1000,545.522796
-769.930542,1000,566.177619
-719.307948,1000,586.522169
-754.023815,1000,606.877555
-651.869513,1000,627.707047
-749.476316,1000,648.134019
-746.852744,1000,668.975417
-593.899905,1000,689.750292
-971.827944,1000,711.472822
-589.091429,1000,732.207831
-552.486331,1000,753.205132
-642.915465,1000,773.98103
-795.230387,1000,795.189548
-728.857391,1000,817.636561
-715.26502,1000,838.479553
-721.369155,1000,859.073749
-742.379247,1000,879.889537
-599.408087,1000,900.946088
-766.527055,1000,921.496621
-798.147455,1000,942.089848
-677.213383,1000,962.866287
-433.238679,1000,984.828692
-588.770792,1000,1007.027001
-732.229438,1000,1027.348244
-667.723344,1000,1048.244985
-719.373382,1000,1069.02793
-733.318178,1000,1090.10449
-613.759857,1000,1112.248213
-808.103349,1000,1132.994388
-749.157561,1000,1153.95055
-586.813106,1000,1176.576229
-614.805544,1000,1197.666886
-761.343959,1000,1219.077778
-740.796616,1000,1240.209943
-649.225963,1000,1262.561173
-762.836289,1000,1284.565933
-599.34295,1000,1305.521613
-557.732852,1000,1326.898899
-695.526354,1000,1348.200982
-722.933681,1000,1369.412856
-556.466651,1000,1391.426479
-746.355504,1000,1412.680977
-608.757156,1000,1433.564665
-694.775839,1000,1454.570121
-1090.254674,1000,1475.906085
-591.099914,1000,1496.970181
-812.605966,1000,1517.979614
-787.871005,1000,1540.378358
-675.147509,1000,1561.400262
-582.916866,1000,1582.542446
-1025.297685,1000,1604.375328
-649.926689,1000,1625.476134
-774.162295,1000,1646.679173
-638.848838,1000,1667.950038
-731.574153,1000,1689.518156
-606.63518,1000,1712.552433
-602.092133,1000,1734.694439
-582.319804,1000,1756.384441
-569.475637,1000,1777.529459
-564.338209,1000,1799.359189
-749.24282,1000,1822.689
-725.155153,1000,1844.558082
-898.182108,1000,1867.174727
-730.687377,1000,1889.337002
-865.702083,1000,1912.133274
-574.418162,1000,1933.457524
-571.746743,1000,1955.280206
-632.390383,1000,1976.949062
-589.383666,1000,1999.527614
-670.338508,1000,2020.782019
-1080.738113,1000,2042.23446
-889.909279,1000,2063.398486
-704.642607,1000,2085.208291
-757.853673,1000,2105.191379
-755.169301,1000,2124.361641
-705.380699,1000,2144.035015
-1216.335575,1000,2454.793782
-722.250756,1000,2472.855605
-695.007191,1000,2490.952682
-628.86058,1000,2509.277509
-749.122803,1000,2528.920436
-764.975858,1000,2548.478857
-702.621641,1000,2568.528715
-587.064409,1000,2588.834236
-576.274927,1000,2609.438894
-738.154528,1000,2631.653507
-824.364864,1000,2652.747011
-759.632647,1000,2673.954692
-692.002664,1000,2695.515518
-624.240168,1000,2716.992187
-767.796943,1000,2739.077237
-682.413707,1000,2760.092226
-618.772773,1000,2781.193254
-556.64039,1000,2802.98284
-786.45373,1000,2824.808394
-1085.64951,1000,2848.07705
-630.63784,1000,2870.933538
-642.295973,1000,2892.719789
-758.891457,1000,2914.67784
-717.489188,1000,2936.527448
-596.68826,1000,2958.141396
-598.594406,1000,2979.812643
-607.897046,1000,3001.828998
-569.224388,1000,3023.569188
-580.311981,1000,3045.425262
-703.56507,1000,3068.688317
-673.015601,1000,3090.505475
-629.321386,1000,3112.694698
-701.049962,1000,3134.981689
-602.352297,1000,3157.210835
-648.993118,1000,3179.454361
-711.86119,1000,3202.182366
-694.544749,1000,3224.85057
-574.004338,1000,3247.347816
-648.409263,1000,3269.988526
-640.554865,1000,3292.498439
-952.02029,1000,3316.155892
-710.383551,1000,3339.154573
-614.467176,1000,3362.181337
-740.857728,1000,3386.367813
-586.723382,1000,3409.196338
-669.023599,1000,3432.028634
-630.190501,1000,3455.267945
-747.28065,1000,3478.190144
-562.193475,1000,3500.973797
-608.593695,1000,3523.757039
-674.155152,1000,3547.175516
-637.018953,1000,3570.389167
-643.479257,1000,3593.376479
-599.261196,1000,3616.007659
-749.892897,1000,3639.226307
-607.982894,1000,3661.96032
-708.229133,1000,3685.398718
-609.521416,1000,3709.415492
-592.526977,1000,3733.580225
-626.532439,1000,3756.782836
-638.927665,1000,3780.231504
-586.642794,1000,3805.462435
-702.127158,1000,3828.42752
-653.782258,1000,3853.279225
-702.487834,1000,3876.218551
-764.571074,1000,3899.160882
-570.351435,1000,3922.201418
-692.07362,1000,3945.052337
-752.672717,1000,3968.188248
-694.220765,1000,3991.544663
-627.152868,1000,4014.7993
-608.289465,1000,4037.735493
-757.507057,1000,4062.235962
-765.924072,1000,4085.380016
-740.475091,1000,4109.324086
-632.68575,1000,4132.123061
-726.040512,1000,4156.713588
-658.467851,1000,4179.689816
-758.854663,1000,4202.583442
-596.377706,1000,4225.20363
-937.468281,1000,4248.517399
-787.312958,1000,4271.134345
-618.177983,1000,4293.64922
-576.101775,1000,4316.044846
-983.545825,1000,4339.29479
-543.153349,1000,4361.77442
-595.748444,1000,4383.936861
-744.367064,1000,4405.893467
-671.951747,1000,4427.667056
-1171.525909,1000,4450.624264
-632.114938,1000,4472.353485
-584.944271,1000,4493.744853
-719.594433,1000,4515.211093
-653.325295,1000,4536.179762
-598.908944,1000,4557.362402
-578.776993,1000,4577.837358
-1148.815619,1000,4599.006259
-720.233707,1000,4619.812793
-968.345085,1000,4640.485619
-805.995985,1000,4660.083386
