# {"t_start": 1619879509.9508004, "env_id": "Fetch-M3-v0"} 
r,l,t
-561.969419,1000,299.664698
-658.100586,1000,305.254917
-581.44741,1000,329.86314
-740.122509,1000,335.448784
-946.071111,1000,371.871964
-1021.398504,1000,378.280997
-934.604041,1000,407.181592
-990.541977,1000,414.349185
-649.243294,1000,443.457405
-568.042715,1000,451.207822
-892.331343,1000,482.335404
-600.222383,1000,491.778155
-1180.045596,1000,523.135271
-879.20628,1000,529.943441
-942.801177,1000,565.249016
-408.283797,1000,573.75147
-544.471823,1000,603.47655
-707.328748,1000,610.546067
-390.692331,1000,643.708116
-824.18215,1000,651.026701
-776.974117,1000,687.5551
-657.621257,1000,694.782949
-721.872066,1000,726.448545
-742.843918,1000,733.244655
-441.982681,1000,764.387729
-891.601288,1000,772.085226
-623.515758,1000,803.941368
-632.090215,1000,810.92733
-748.869143,1000,850.540554
-640.30479,1000,857.100135
-742.358492,1000,890.576813
-617.868631,1000,898.06688
-675.386734,1000,926.690716
-496.65305,1000,933.783295
-622.628755,1000,964.450663
-502.724017,1000,972.238851
-371.49303,1000,1006.903307
-278.157107,1000,1014.070494
-392.085919,1000,1045.769011
-307.112652,1000,1052.979723
-289.593578,1000,1089.629694
-437.145952,1000,1097.623759
-195.97636,1000,1128.944093
-111.171435,1000,1135.92365
-498.469034,1000,1175.790607
-376.188114,1000,1183.11945
-194.599399,1000,1214.377389
-314.842171,1000,1221.508609
-111.509289,1000,1255.755505
-143.723987,1000,1263.227022
-98.398092,1000,1294.159267
-238.131363,1000,1300.720378
-425.911398,1000,1333.226559
-125.351762,1000,1341.193056
-296.242302,1000,1374.624206
-272.0489,1000,1381.085362
-361.319437,1000,1413.5402
-259.49015,1000,1421.724514
-142.918798,1000,1456.14649
-147.734146,1000,1463.185119
-230.687091,1000,1493.764787
-216.981637,1000,1501.568528
-167.021054,1000,1534.899767
-150.81851,1000,1541.768015
-200.668262,1000,1569.440813
-171.184285,1000,1576.419745
-194.551782,1000,1614.306942
-244.842724,1000,1621.608172
-307.560251,1000,1653.021422
-266.666851,1000,1660.341281
-266.800263,1000,1693.536209
-216.933551,1000,1700.333474
-208.909399,1000,1729.704499
-58.029803,1000,1737.047169
-97.164668,1000,1771.771267
-285.479791,1000,1778.955445
-85.755677,1000,1813.156658
-60.580005,1000,1821.147852
-241.187091,1000,1856.340951
-154.926477,1000,1863.115502
-103.04912,1000,1894.753114
-99.889739,1000,1902.145048
-83.55356,1000,1935.98224
-132.551613,1000,1942.871211
-272.283592,1000,1975.561414
-51.675005,1000,1985.984843
-64.698438,1000,2022.404962
-307.239208,1000,2029.377882
-304.873258,1000,2060.406685
-162.899554,1000,2067.983293
-488.133065,1000,2102.79066
-214.430276,1000,2109.448437
-535.468301,1000,2142.911691
-262.309809,1000,2150.10849
-240.966369,1000,2186.244733
-83.970208,1000,2193.642567
-202.295774,1000,2225.704057
-62.773519,1000,2233.057579
-49.444679,1000,2271.678569
-478.940011,1000,2280.892789
-79.479171,1000,2314.950799
-243.781907,1000,2322.171312
-127.564136,1000,2358.812826
-55.472708,1000,2365.886151
-103.347159,1000,2399.895043
-75.464456,1000,2407.2505
-78.482463,1000,2443.789082
-298.131709,1000,2451.135353
-269.482495,1000,2485.824079
-505.372023,1000,2495.403631
-116.280511,1000,2529.790169
-211.571084,1000,2536.441783
-268.378219,1000,2569.475989
-597.346197,1000,2577.289941
-485.95625,1000,2615.547537
-124.418579,1000,2622.77853
-201.795174,1000,2660.383219
-63.025928,1000,2668.122617
-536.947395,1000,2705.918642
-415.504117,1000,2713.445484
-46.440214,1000,2747.095176
-102.603242,1000,2754.530374
-124.075431,1000,2789.697023
-101.097851,1000,2797.420024
-102.76144,1000,2832.138443
-48.509752,1000,2839.71851
-171.321189,1000,2873.04925
-86.784545,1000,2880.090816
-51.938601,1000,2912.648308
-83.791233,1000,2919.881673
-94.535273,1000,2952.215366
-74.145908,1000,2959.621599
-114.567124,1000,2995.289821
-466.525584,1000,3006.410763
-63.916664,1000,3041.635633
-352.964051,1000,3048.220555
